ACRES,BOROUGH,LOCATION,SIGNNAME,TYPECATEGORY,URL,ZIPCODE
9.322,B,Vermont St. bet. Linden Blvd. and Stanley Ave.,Linden Park,Jointly Operated Playground,http://www.nycgovparks.org/parks/B214/,11207
8.565,B,Ft. Hamilton Pkwy. bet. 94 St. and 101 St.,John J Carty Park,Neighborhood Park,http://www.nycgovparks.org/parks/B210W/,11209
0.579,B,"E. 38 St., Ave. M, Flatlands Ave.",Sarsfield Playground,Playground,http://www.nycgovparks.org/parks/B207/,11234
0.649,B,"10 Ave., New Utrecht Ave. bet. 43 St. and 42 St.",Brizzi Playground,Playground,http://www.nycgovparks.org/parks/B162/,11219
1.549,B,"5 St., 4 St. bet. 4 Ave. and 5 Ave.",Washington Skate Park,Jointly Operated Playground,http://www.nycgovparks.org/parks/B111A/,11215
0.429,B,Vandervoort Ave. bet. Cherry St. and Anthony St.,Sgt. William Dougherty Playground,Playground,http://www.nycgovparks.org/parks/B096/,11222
2.73,B,Vermont St. bet. Pitkin Ave. and Belmont Ave.,Grace Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B078/,11207
1.371,B,"Columbia Hts., Hicks St., bet. Middagh St. and Vine St.",Hillside Dog Park,Neighborhood Park,http://www.nycgovparks.org/parks/B223G/,11201
1.3,B,Dean St. to Bergen St. between 6 Ave. and Carlton Ave.,Dean Playground,Neighborhood Park,http://www.nycgovparks.org/parks/B232/,11217
1.43,B,Ralph Ave. and Farragut Rd.,Glenwood Playground,Neighborhood Park,http://www.nycgovparks.org/parks/B236/,11234
0.138,B,Pineapple St. bet. Columbia Heights and the BQE,Brooklyn Heights Promenade,Triangle/Plaza,http://www.nycgovparks.org/parks/B223DI/,11201
0.113,B,Prospect Exwy. bet. 4 Ave. and 5 Ave.,Park,Strip,http://www.nycgovparks.org/parks/B255B/,11215
4.73,X,"Palisade Av, Douglas Av bet. W 235 St and",Raoul Wallenberg Forest,Nature Area,http://www.nycgovparks.org/parks/X259/,10471
